g,1.0029717682020802
d,3.7147102526002973
k,4.9405646359583955
ç,2.1173848439821694
c,1.7830609212481425
y,3.0089153046062407
o,1.8202080237741458
ş,0.8915304606240713
h,1.040118870728083
ö,0.7429420505200593
m,3.789004457652303
t,2.8974739970282317
f,0.2971768202080238
a,11.924219910846954
s,4.011887072808321
i,8.098068350668647
j,0.07429420505200594
e,10.512630014858841
p,0.26002971768202077
ı,5.349182763744428
l,4.791976225854384
u,2.526002971768202
ü,1.9687964338781574
b,2.2288261515601784
z,2.600297176820208
n,6.946508172362556
r,6.909361069836553
v,2.637444279346211
ğ,1.1144130757800892
